X,Y,Z,TMI_nT,Std_nT
1894.60000,41870.00000,40.00000,49.34000,5.98680
1896.00000,41770.00000,40.00000,58.17000,6.16340
1896.30000,41670.00000,40.00000,70.63000,6.41260
1896.90000,41570.00000,40.00000,89.96000,6.79920
1899.00000,41470.00000,40.00000,115.02000,7.30040
1903.50000,41370.00000,40.00000,134.82000,7.69640
1907.50000,41270.00000,40.00000,159.96000,8.19920
1911.80000,41170.00000,40.00000,188.81000,8.77620
1916.40000,41070.00000,40.00000,217.41000,9.34820
1922.50000,40971.00000,40.00000,248.43000,9.96860
1927.50000,40871.00000,40.00000,275.96000,10.51920
1931.00000,40771.00000,40.00000,295.64000,10.91280
1934.20000,40671.00000,40.00000,307.75000,11.15500
1936.00000,40571.00000,40.00000,307.39000,11.14780
1935.00000,40471.00000,40.00000,304.00000,11.08000
1928.10000,40371.00000,40.00000,290.99000,10.81980
1920.40000,40271.00000,40.00000,266.56000,10.33120
1913.40000,40172.00000,40.00000,255.59000,10.11180
1906.00000,40072.00000,40.00000,205.53000,9.11060
1972.00000,40029.00000,40.00000,140.40000,7.80800
1977.00000,40129.00000,40.00000,197.62000,8.95240
1985.10000,40228.00000,40.00000,265.88000,10.31760
1992.60000,40328.00000,40.00000,279.88000,10.59760
1998.50000,40428.00000,40.00000,282.54000,10.65080
2002.00000,40528.00000,40.00000,297.84000,10.95680
2003.00000,40628.00000,40.00000,302.70000,11.05400
2004.00000,40728.00000,40.00000,302.71000,11.05420
2003.00000,40828.00000,40.00000,292.84000,10.85680
2002.00000,40928.00000,40.00000,272.89000,10.45780
2001.00000,41028.00000,40.00000,246.54000,9.93080
2000.00000,41128.00000,40.00000,216.89000,9.33780
1997.60000,41228.00000,40.00000,187.36000,8.74720
1995.90000,41328.00000,40.00000,161.24000,8.22480
1995.00000,41428.00000,40.00000,137.12000,7.74240
1994.90000,41528.00000,40.00000,115.70000,7.31400
1997.20000,41628.00000,40.00000,91.35000,6.82700
2001.10000,41727.00000,40.00000,74.54000,6.49080
2002.00000,41827.00000,40.00000,60.00000,6.20000
2001.00000,41927.00000,40.00000,46.84000,5.93680
2002.00000,42027.00000,40.00000,36.04000,5.72080
2004.40000,42127.00000,40.00000,27.65000,5.55300
2009.10000,42227.00000,40.00000,21.29000,5.42580
2011.00000,42327.00000,40.00000,15.84000,5.31680
2009.50000,42427.00000,40.00000,14.48000,5.28960
2005.70000,42527.00000,40.00000,11.55000,5.23100
2002.00000,42627.00000,40.00000,10.00000,5.20000
1998.60000,42727.00000,40.00000,9.91000,5.19820
1994.40000,42827.00000,40.00000,9.99000,5.19980
1990.00000,42927.00000,40.00000,15.02000,5.30040
2092.00000,42963.00000,40.00000,9.00000,5.18000
2093.60000,42863.00000,40.00000,13.23000,5.26460
2095.00000,42763.00000,40.00000,10.82000,5.21640
2095.00000,42663.00000,40.00000,7.14000,5.14280
2092.50000,42563.00000,40.00000,7.52000,5.15040
2089.00000,42463.00000,40.00000,9.50000,5.19000
2085.40000,42363.00000,40.00000,13.03000,5.26060
2083.90000,42263.00000,40.00000,14.66000,5.29320
2082.80000,42163.00000,40.00000,20.28000,5.40560
2085.10000,42063.00000,40.00000,29.75000,5.59500
2088.30000,41963.00000,40.00000,39.69000,5.79380
2094.60000,41863.00000,40.00000,53.96000,6.07920
2103.20000,41764.00000,40.00000,69.16000,6.38320
2108.30000,41664.00000,40.00000,86.07000,6.72140
2113.30000,41564.00000,40.00000,107.00000,7.14000
2118.30000,41464.00000,40.00000,127.24000,7.54480
2123.20000,41364.00000,40.00000,156.96000,8.13920
2128.00000,41264.00000,40.00000,187.01000,8.74020
2125.20000,41164.00000,40.00000,215.13000,9.30260
2122.30000,41064.00000,40.00000,241.54000,9.83080
2120.00000,40964.00000,40.00000,265.68000,10.31360
2117.60000,40864.00000,40.00000,285.25000,10.70500
2115.30000,40764.00000,40.00000,298.05000,10.96100
2113.10000,40664.00000,40.00000,297.14000,10.94280
2111.00000,40564.00000,40.00000,288.07000,10.76140
2109.70000,40465.00000,40.00000,274.90000,10.49800
2107.50000,40365.00000,40.00000,264.33000,10.28660
2104.00000,40265.00000,40.00000,248.64000,9.97280
2105.00000,40165.00000,40.00000,193.46000,8.86920
2106.00000,40065.00000,40.00000,136.00000,7.72000
2171.00000,40043.00000,40.00000,114.90000,7.29800
2177.00000,40142.00000,40.00000,152.00000,8.04000
2182.70000,40242.00000,40.00000,221.45000,9.42900
2185.20000,40342.00000,40.00000,238.25000,9.76500
2187.90000,40442.00000,40.00000,253.14000,10.06280
2191.10000,40542.00000,40.00000,273.71000,10.47420
2191.30000,40642.00000,40.00000,290.13000,10.80260
2188.00000,40742.00000,40.00000,299.86000,10.99720
2191.10000,40842.00000,40.00000,299.30000,10.98600
