X,Y,Z,TMI_nT,Error_Est
557340.00000,7133540.00000,441.94940,64.19745,1.00000
557360.00000,7133540.00000,441.94940,59.50692,1.00000
557380.00000,7133540.00000,441.86650,56.74372,1.00000
557400.00000,7133540.00000,441.84500,55.95887,1.00000
557420.00000,7133540.00000,442.06110,52.56375,1.00000
557440.00000,7133540.00000,442.06110,52.34570,1.00000
557460.00000,7133540.00000,442.67830,46.04936,1.00000
557480.00000,7133540.00000,443.74550,37.86613,1.00000
557500.00000,7133540.00000,445.10430,26.34538,1.00000
557520.00000,7133540.00000,445.10430,17.77476,1.00000
557540.00000,7133540.00000,446.55370,8.53697,1.00000
557560.00000,7133540.00000,447.91620,4.18568,1.00000
557580.00000,7133540.00000,449.12480,-0.35618,1.00000
557600.00000,7133540.00000,449.12480,-2.30206,1.00000
557000.00000,7133560.00000,445.91440,0.21171,1.00000
557020.00000,7133560.00000,445.91440,0.71637,1.00000
557040.00000,7133560.00000,444.09960,3.18172,1.00000
557060.00000,7133560.00000,442.79620,5.50869,1.00000
557080.00000,7133560.00000,442.05940,7.81347,1.00000
557100.00000,7133560.00000,441.80660,13.71872,1.00000
557120.00000,7133560.00000,441.80660,20.73713,1.00000
557140.00000,7133560.00000,441.83990,29.82679,1.00000
557160.00000,7133560.00000,441.93500,40.26852,1.00000
557180.00000,7133560.00000,441.99200,48.88451,1.00000
557200.00000,7133560.00000,441.99200,54.88976,1.00000
557220.00000,7133560.00000,442.00750,63.71207,1.00000
557240.00000,7133560.00000,442.00520,64.89023,1.00000
557260.00000,7133560.00000,442.00610,67.36904,1.00000
557280.00000,7133560.00000,442.00610,72.11619,1.00000
557300.00000,7133560.00000,442.01200,72.01570,1.00000
557320.00000,7133560.00000,441.99980,71.38729,1.00000
557340.00000,7133560.00000,441.94850,71.03572,1.00000
557360.00000,7133560.00000,441.94850,68.73008,1.00000
557380.00000,7133560.00000,441.86960,71.20818,1.00000
557400.00000,7133560.00000,441.83730,70.83522,1.00000
557420.00000,7133560.00000,442.03680,72.23047,1.00000
557440.00000,7133560.00000,442.03680,75.12718,1.00000
557460.00000,7133560.00000,442.64760,70.74679,1.00000
557480.00000,7133560.00000,443.70600,57.26977,1.00000
557500.00000,7133560.00000,445.09120,42.83165,1.00000
557520.00000,7133560.00000,445.09120,27.26667,1.00000
557540.00000,7133560.00000,446.61300,18.32323,1.00000
557560.00000,7133560.00000,448.08970,9.74278,1.00000
557580.00000,7133560.00000,449.42190,3.55601,1.00000
557600.00000,7133560.00000,449.42190,-0.62213,1.00000
557000.00000,7133580.00000,445.91440,0.27560,1.00000
557020.00000,7133580.00000,445.91440,1.45583,1.00000
557040.00000,7133580.00000,444.09960,3.20393,1.00000
557060.00000,7133580.00000,442.79620,3.15277,1.00000
557080.00000,7133580.00000,442.05940,6.34990,1.00000
557100.00000,7133580.00000,441.80660,13.82412,1.00000
557120.00000,7133580.00000,441.80660,17.60252,1.00000
557140.00000,7133580.00000,441.83990,26.53199,1.00000
557160.00000,7133580.00000,441.93500,36.85218,1.00000
557180.00000,7133580.00000,441.99200,44.63865,1.00000
557200.00000,7133580.00000,441.99200,53.55833,1.00000
557220.00000,7133580.00000,442.00750,58.02884,1.00000
557240.00000,7133580.00000,442.00520,64.40521,1.00000
557260.00000,7133580.00000,442.00610,67.12420,1.00000
557280.00000,7133580.00000,442.00610,71.64397,1.00000
557300.00000,7133580.00000,442.01200,75.07845,1.00000
557320.00000,7133580.00000,441.99980,76.47347,1.00000
557340.00000,7133580.00000,441.94850,79.56092,1.00000
557360.00000,7133580.00000,441.94850,78.78419,1.00000
557380.00000,7133580.00000,441.86960,80.63880,1.00000
557400.00000,7133580.00000,441.83730,83.92065,1.00000
557420.00000,7133580.00000,442.03680,90.45480,1.00000
557440.00000,7133580.00000,442.03680,96.32471,1.00000
557460.00000,7133580.00000,442.64760,92.45192,1.00000
557480.00000,7133580.00000,443.70600,79.15274,1.00000
557500.00000,7133580.00000,445.09120,58.13370,1.00000
557520.00000,7133580.00000,445.09120,43.06671,1.00000
557540.00000,7133580.00000,446.61300,25.21404,1.00000
557560.00000,7133580.00000,448.08970,12.85105,1.00000
557580.00000,7133580.00000,449.42190,5.38082,1.00000
557600.00000,7133580.00000,449.42190,0.03057,1.00000
557000.00000,7133600.00000,445.80190,-1.24454,1.00000
557020.00000,7133600.00000,445.80190,-0.16908,1.00000
557040.00000,7133600.00000,444.09730,1.77235,1.00000
557060.00000,7133600.00000,442.83800,1.96567,1.00000
557080.00000,7133600.00000,442.09280,5.10877,1.00000
557100.00000,7133600.00000,441.82410,10.74965,1.00000
557120.00000,7133600.00000,441.82410,16.05120,1.00000
557140.00000,7133600.00000,441.83800,24.67349,1.00000
557160.00000,7133600.00000,441.93510,31.15056,1.00000
557180.00000,7133600.00000,441.99320,39.31507,1.00000
557200.00000,7133600.00000,441.99320,48.59911,1.00000
557220.00000,7133600.00000,442.00750,54.89090,1.00000
557240.00000,7133600.00000,442.00430,60.66031,1.00000
557260.00000,7133600.00000,442.00490,65.99988,1.00000
557280.00000,7133600.00000,442.00490,70.70475,1.00000
557300.00000,7133600.00000,442.01360,76.93317,1.00000
557320.00000,7133600.00000,442.00590,81.28530,1.00000
557340.00000,7133600.00000,441.94680,82.81144,1.00000
557360.00000,7133600.00000,441.94680,84.86247,1.00000
557380.00000,7133600.00000,441.86210,89.96514,1.00000
557400.00000,7133600.00000,441.82920,95.57846,1.00000
557420.00000,7133600.00000,442.02640,101.84050,1.00000
557440.00000,7133600.00000,442.02640,111.74820,1.00000
557460.00000,7133600.00000,442.63560,104.45870,1.00000
557480.00000,7133600.00000,443.68170,90.57234,1.00000
